Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum,,wind avg,wind avg mph,Direction
3/14/2020,59.4 °F,53.3 °F,48.7 °F,44.2 °F,41.7 °F,39.1 °F,75%,65%,53%,22,17,0,30.00 in,29.86 in,0.00 in,,17,17,S
3/15/2020,58.6 °F,52.4 °F,48.1 °F,40.8 °F,38.1 °F,35.9 °F,72%,59%,44%,22,14.9,0,30.01 in,29.93 in,0.00 in,,14.9,14.9,SSW
3/16/2020,59.4 °F,48.9 °F,42.9 °F,41.7 °F,37.2 °F,34.3 °F,77%,65%,44%,20,3.1,0,30.00 in,29.76 in,0.03 in,,3.1,3.1,SW
3/17/2020,51.9 °F,44.8 °F,36.0 °F,36.0 °F,32.0 °F,27.8 °F,76%,62%,41%,4,0.1,0,29.94 in,29.84 in,0.03 in,,0.1,0.1,SW
3/18/2020,57.7 °F,46.0 °F,34.4 °F,35.6 °F,30.1 °F,22.2 °F,76%,56%,26%,15,1.7,0,29.89 in,29.66 in,0.03 in,,1.7,1.7,WSW
3/19/2020,56.9 °F,48.9 °F,42.9 °F,39.2 °F,32.8 °F,27.5 °F,72%,54%,39%,18,7.3,0,30.10 in,29.77 in,0.01 in,,7.3,7.3,SSW
3/20/2020,59.9 °F,50.0 °F,37.0 °F,39.9 °F,36.1 °F,31.7 °F,82%,61%,40%,0,0,0,30.20 in,30.08 in,0.01 in,,0,0,SSW
3/21/2020,62.4 °F,54.2 °F,46.9 °F,41.9 °F,39.3 °F,35.8 °F,80%,59%,38%,0,0,0,30.13 in,29.98 in,0.07 in,,0,0,E
3/22/2020,64.7 °F,52.6 °F,39.7 °F,45.0 °F,39.7 °F,34.3 °F,82%,64%,35%,15,0.5,0,30.11 in,29.91 in,0.08 in,,0.5,0.5,SSW
3/23/2020,61.2 °F,53.5 °F,47.0 °F,45.5 °F,41.1 °F,38.1 °F,87%,65%,45%,18,9.6,0,30.04 in,29.91 in,0.20 in,,9.6,9.6,WSW
3/24/2020,62.3 °F,54.6 °F,45.7 °F,43.6 °F,39.1 °F,35.5 °F,75%,57%,38%,19,11.3,0,30.03 in,29.91 in,0.05 in,,11.3,11.3,SW
3/25/2020,56.6 °F,50.6 °F,45.3 °F,39.0 °F,34.4 °F,30.5 °F,65%,54%,40%,22,12.9,0,29.95 in,29.82 in,0.00 in,,12.9,12.9,WSW
3/26/2020,54.5 °F,47.1 °F,40.6 °F,31.0 °F,27.5 °F,24.6 °F,62%,47%,34%,18,8.3,0,29.92 in,29.81 in,0.00 in,,8.3,8.3,WSW
3/27/2020,57.8 °F,49.1 °F,39.8 °F,32.2 °F,28.5 °F,23.3 °F,69%,46%,28%,18,5.3,0,30.08 in,29.91 in,0.00 in,,5.3,5.3,WSW
3/28/2020,62.5 °F,50.9 °F,37.7 °F,35.7 °F,31.0 °F,25.5 °F,66%,48%,30%,12,2.3,0,30.14 in,29.95 in,0.00 in,,2.3,2.3,SSW
3/29/2020,60.8 °F,53.9 °F,46.4 °F,39.0 °F,36.1 °F,33.3 °F,61%,51%,40%,20,12.3,0,30.04 in,29.90 in,0.00 in,,12.3,12.3,WSW
3/30/2020,71.9 °F,55.4 °F,40.5 °F,42.0 °F,36.7 °F,30.6 °F,72%,52%,28%,14,3,0,30.20 in,,,,3,3,WSW
3/1/2019,69.7 °F,58.2 °F,50.5 °F,43.7 °F,38.5 °F,27.9 °F,68%,50%,21%,32,11.5,0,29.96 in,29.82 in,0.00 in,,11.5,11.5,SSW
3/2/2019,62.2 °F,56.4 °F,50.4 °F,50.3 °F,47.1 °F,42.6 °F,85%,71%,63%,32,16,0,29.92 in,29.79 in,0.19 in,,16,16,SSW
3/3/2019,64.8 °F,56.8 °F,48.9 °F,44.6 °F,41.5 °F,36.9 °F,75%,58%,43%,29,14.9,0,29.94 in,29.82 in,0.21 in,,14.9,14.9,SW
3/4/2019,66.6 °F,55.8 °F,47.6 °F,44.6 °F,39.5 °F,35.5 °F,78%,56%,33%,19,5.8,0,29.98 in,29.87 in,0.07 in,,5.8,5.8,SSW
3/5/2019,66.1 °F,51.7 °F,44.7 °F,47.5 °F,43.7 °F,38.4 °F,86%,75%,36%,30,4.5,0,29.99 in,29.83 in,0.03 in,,4.5,4.5,SW
3/6/2019,59.0 °F,52.5 °F,47.3 °F,51.6 °F,45.5 °F,42.7 °F,88%,78%,62%,27,9.6,0,29.92 in,29.81 in,0.73 in,,9.6,9.6,S
3/7/2019,58.8 °F,51.7 °F,45.0 °F,43.4 °F,39.1 °F,34.8 °F,78%,63%,47%,26,14.7,0,29.96 in,29.82 in,0.78 in,,14.7,14.7,SSW
3/8/2019,52.7 °F,46.8 °F,42.7 °F,34.9 °F,29.6 °F,24.2 °F,65%,51%,38%,30,19.3,1,29.93 in,29.82 in,0.06 in,,19.3,19.3,SW
3/10/2019,58.5 °F,49.4 °F,42.6 °F,33.8 °F,30.5 °F,19.3 °F,68%,50%,23%,14,5.5,0,29.93 in,29.82 in,0.00 in,,5.5,5.5,SSW
3/10/2019,45.2 °F,44.7 °F,43.8 °F,33.1 °F,32.7 °F,32.2 °F,64%,63%,61%,13,9.6,4,29.86 in,29.85 in,0.00 in,,9.6,9.6,
3/10/2019,45.2 °F,44.7 °F,43.8 °F,33.1 °F,32.7 °F,32.2 °F,64%,63%,61%,13,9.6,4,29.86 in,29.85 in,0.00 in,,9.6,9.6,
3/11/2019,44.4 °F,43.7 °F,42.0 °F,35.4 °F,34.6 °F,33.6 °F,72%,70%,68%,4,0.5,0,29.94 in,29.93 in,0.00 in,,0.5,0.5,S
3/11/2019,58.4 °F,52.3 °F,41.6 °F,35.9 °F,31.6 °F,29.1 °F,75%,47%,33%,24,12.6,0,29.98 in,29.77 in,0.00 in,,12.6,12.6,NE
3/12/2019,63.2 °F,56.3 °F,49.8 °F,42.4 °F,35.8 °F,30.9 °F,71%,47%,32%,44,14.2,0,29.79 in,29.56 in,0.00 in,,14.2,14.2,
3/13/2019,59.6 °F,52.0 °F,43.0 °F,34.4 °F,25.8 °F,16.6 °F,56%,37%,21%,44,11.4,0,30.16 in,29.59 in,0.00 in,,11.4,11.4,NW
3/14/2019,59.0 °F,48.2 °F,33.9 °F,25.1 °F,19.1 °F,16.5 °F,59%,33%,19%,16,6.4,0,30.31 in,30.16 in,0.00 in,,6.4,6.4,ENE
3/15/2019,64.1 °F,50.4 °F,34.2 °F,28.5 °F,22.0 °F,18.6 °F,62%,35%,19%,17,5.7,0,30.27 in,30.05 in,0.00 in,,5.7,5.7,NE
3/16/2019,70.7 °F,55.8 °F,35.9 °F,30.5 °F,25.7 °F,21.4 °F,58%,33%,17%,16,5.7,0,30.15 in,29.99 in,0.00 in,,5.7,5.7,NE
3/17/2019,76.0 °F,58.6 °F,43.1 °F,39.8 °F,31.5 °F,25.5 °F,56%,37%,22%,12,2.1,0,30.09 in,29.92 in,0.00 in,,2.1,2.1,NNE
3/18/2019,76.7 °F,59.9 °F,43.4 °F,40.7 °F,36.6 °F,32.4 °F,68%,45%,22%,6,2,0,30.00 in,29.85 in,0.00 in,,2,2,SSW
3/19/2019,76.0 °F,60.1 °F,44.7 °F,44.0 °F,38.9 °F,34.5 °F,73%,48%,25%,18,4.2,0,29.94 in,29.74 in,0.01 in,,4.2,4.2,WSW
3/20/2019,63.7 °F,54.9 °F,48.7 °F,40.6 °F,38.0 °F,35.5 °F,65%,54%,37%,25,12.9,0,29.92 in,29.81 in,0.01 in,,12.9,12.9,SSW
3/21/2019,58.1 °F,51.9 °F,45.2 °F,37.7 °F,35.7 °F,33.2 °F,65%,54%,41%,27,15.3,6,30.01 in,29.91 in,0.00 in,,15.3,15.3,SW
3/22/2019,65.1 °F,54.6 °F,43.8 °F,40.4 °F,36.7 °F,33.2 °F,67%,52%,33%,19,7,0,30.08 in,29.98 in,0.00 in,,7,7,SW
3/23/2019,65.4 °F,54.8 °F,43.5 °F,42.5 °F,36.7 °F,31.7 °F,65%,51%,36%,30,12.3,0,30.03 in,29.94 in,0.00 in,,12.3,12.3,SW
3/24/2019,68.8 °F,55.9 °F,41.3 °F,38.1 °F,34.6 °F,30.0 °F,65%,46%,30%,19,3.9,0,30.17 in,29.99 in,0.00 in,,3.9,3.9,SW
3/25/2019,74.2 °F,58.5 °F,41.3 °F,39.3 °F,33.1 °F,26.2 °F,66%,42%,17%,15,3.6,0,30.15 in,29.93 in,0.00 in,,3.6,3.6,SSW
3/26/2019,75.5 °F,57.5 °F,41.1 °F,38.8 °F,33.7 °F,25.2 °F,72%,45%,16%,21,5.7,0,29.98 in,29.81 in,0.00 in,,5.7,5.7,SSW
3/27/2019,71.4 °F,59.3 °F,48.2 °F,45.1 °F,37.9 °F,27.7 °F,64%,46%,36%,26,10.4,0,29.99 in,29.84 in,0.00 in,,10.4,10.4,WSW
