num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
304,5.303931548,0,248.9642693,0,69.55766201,,849.4182385,4519.191175,-302.4726473,0,-80.55370653,28.60727194,22820.21119,79.09725803,11.62263535
305,7.689088,0,205.9565051,0,69.50175699,,848.5700826,7460.421287,650.0384221,0,-80.52357108,28.61582451,22835.24586,79.74279335,11.62263953
306,0.006056571572,0,81.57542362,0,68.96371748,,850.6045945,2568.422413,1737.7576,0,-80.57368512,28.62562549,22762.98441,81.92728928,11.62264389
307,6.147543577,0,290.7523962,0,67.7031248,,848.0872676,7140.462474,274.6566336,0,-80.52685127,28.61245042,22799.05189,78.87814287,11.6226382
308,2.235409206,0,204.2411531,0,73.3658228,,848.3175895,5553.764029,1205.864089,0,-80.54310128,28.62083272,22848.77413,79.26068881,11.62264142
309,2.41887228,0,3.058298517,0,67.79467847,,848.3926796,7049.957703,-912.8784286,0,-80.52778577,28.60177116,22805.93958,79.10537564,11.6226334
310,3.367701333,0,26.3340746,0,72.78421531,,849.0326533,5998.083875,1967.105701,0,-80.53854518,28.62767675,22829.45317,79.81517527,11.62264506
311,4.671568,0,246.4475961,0,73.41635001,,849.5693106,3910.760268,979.1256574,0,-80.55993475,28.6187996,22807.59218,79.83171361,11.62264097
312,1.103302693,0,239.9795473,0,69.26137413,,848.6669206,7523.663541,-170.1253364,0,-80.5229286,28.60844824,22830.72509,80.35288017,11.62263637
313,0.6665015404,0,199.8453869,0,67.3225118,,848.2023137,7363.649394,-2114.305289,0,-80.52458031,28.59096473,22846.15711,79.24803437,11.62262803
314,7.2644,0,227.2349,0,69.98477433,,849.3922684,3924.509359,-391.3705927,0,-80.55979861,28.60647439,22821.40676,78.82620802,11.6226354
315,3.12928,0,227.3796174,0,68.87105966,,848.3219148,6343.729869,2100.417265,0,-80.53500304,28.62887401,22835.88532,79.5037863,11.62264561
316,2.443302766,0,210.6660728,0,67.39877109,,851.7450327,5185.932984,2205.919284,0,-80.54686518,28.62982795,22766.63459,79.62514841,11.62264589
317,9.968992,0,193.2357779,0,70.63905774,,850.8735379,2461.094337,1579.67764,0,-80.5747851,28.62420405,22776.00972,79.33225956,11.62264313
318,1.71933264,0,30.40336469,0,69.45372076,,848.6612429,5218.620594,48.75062966,0,-80.54654015,28.61042794,22814.29051,79.14147848,11.6226368
319,8.314944,0,289.8436165,0,70.3670655,,850.7019551,4136.863676,1089.229254,0,-80.55761795,28.61978908,22779.13568,79.15929856,11.62264102
320,5.832664992,0,211.6874392,0,73.13214722,,848.0111747,5926.713813,211.6617447,0,-80.53928555,28.61189,22842.59423,79.77106428,11.62263785
321,5.945632,0,235.4286881,0,67.32284453,,848.9225361,5904.428798,-44.96487469,0,-80.53951517,28.6095822,22803.42671,79.25504269,11.62263663
322,3.263392,0,206.3357839,0,68.46848701,,849.2906541,7652.600086,361.4703603,0,-80.52160422,28.61322823,22827.92812,80.02438878,11.62263839
323,2.235509428,0,42.81495225,0,72.64728858,,849.625348,3226.245515,927.9498675,0,-80.56694766,28.61834125,22787.5393,78.37858651,11.62264068
324,4.671568,0,251.5256731,0,71.53542126,,848.1965216,4778.787378,-26.36308814,0,-80.55104614,28.60975412,22697.34507,79.50541397,11.62263697
325,2.179974485,0,212.0553198,0,71.74740369,,852.5122152,4335.868327,-160.3102999,0,-80.55558391,28.60855106,22794.00089,79.51616391,11.62263611
326,7.2644,0,235.0828678,0,73.6663754,,850.5477559,3040.3822,1555.04772,0,-80.56885013,28.62398132,22800.93396,80.00378427,11.62264301
327,0.22352,0,247.6999003,0,67.66991891,,849.3292502,6723.953687,-198.9659069,0,-80.53112089,28.60819325,22830.67549,78.3125336,11.62263626
328,5.141465056,0,202.1581,0,70.39641786,,848.570407,5652.487712,576.8576469,0,-80.54209297,28.6151755,22826.36622,79.04321148,11.62263907
329,5.742474672,0,227.0111624,0,69.10214746,,848.2804317,9286.341204,1424.940851,0,-80.50485898,28.62278159,22849.84496,79.0418524,11.62264271
330,2.236001101,0,220.8619605,0,70.87411762,,849.341695,6408.665739,731.909714,0,-80.53434541,28.61656641,22818.07822,82.69784404,11.62263954
331,2.61372665,0,241.0832368,0,69.07223498,,849.0160443,6950.771009,2236.192762,0,-80.52878256,28.63009196,22816.32955,79.31284556,11.62264611
332,4.671568,0,228.682603,0,72.48215424,,848.7334584,6146.998543,3421.225964,0,-80.5370116,28.64075327,22811.41233,79.22972604,11.62265051
333,4.671568,0,250.3637338,0,70.06769161,,851.1049082,5191.358039,303.3016856,0,-80.54681827,28.61271728,22764.40581,84.61071235,11.62263829
334,5.033996077,0,238.8886107,0,67.02746236,,849.7758974,6456.843641,665.7889995,0,-80.53385222,28.61597153,22798.11201,79.61074949,11.62263967
335,2.265395973,0,231.3804218,0,71.55853377,,848.8214464,5705.026142,677.0659329,0,-80.54155423,28.61607647,22795.95633,79.26498138,11.6226398
336,5.051250051,0,234.5098312,0,73.56091751,,849.289412,4335.237879,1570.462766,0,-80.55558378,28.62411627,22808.63237,78.88633726,11.62264292
337,3.978656,0,235.6379644,0,67.33949757,,849.3729022,3726.312728,209.0793572,0,-80.56182691,28.61187495,22781.23872,77.0669869,11.62263789
338,1.393196225,0,187.1906155,0,70.86612352,,848.4877107,7123.240682,946.1930717,0,-80.5270235,28.61848978,22840.73439,80.20092431,11.62264072
339,5.945632,0,90.49698824,0,72.62528933,,850.0700045,4419.416467,311.215943,0,-80.55472622,28.61279131,22778.53721,79.137412,11.62263816
340,1.408411367,0,197.7311779,0,72.13648551,,848.795979,6783.675711,1438.292664,0,-80.53049936,28.62291716,22794.22217,78.81789646,11.62264286
341,2.25284546,0,166.8276048,0,69.01500312,,853.2038525,2264.444864,1761.274786,0,-80.57679949,28.62583755,22762.13877,79.50259042,11.62264394
342,2.512876665,0,248.61817,0,73.82477484,,849.5865848,7212.319759,863.0888188,0,-80.52611143,28.61774192,22822.98666,79.67363371,11.62264038
343,1.873662883,0,234.5375023,0,70.74856924,,850.5849107,4596.466724,79.789891,0,-80.5529134,28.61070943,22795.74705,79.03409451,11.62263726
344,2.549016851,0,189.1482137,0,71.10082181,,848.3431735,5144.294855,1284.526388,0,-80.54729597,28.62154183,22811.87738,79.69106874,11.62264214
345,2.498474957,0,121.5751402,0,70.71194785,,849.4742711,6563.188845,3180.362082,0,-80.53274828,28.63858509,22825.54493,79.98545033,11.62264994
346,0.6759409061,0,227.0013065,0,73.55737568,,851.1740323,5566.391015,1660.795617,0,-80.54296969,28.62492396,22772.71504,79.16426099,11.6226437
347,0.6765622886,0,190.0257608,0,71.40190383,,849.4225605,4350.880192,-1273.099017,0,-80.55543437,28.59854346,22717.34227,79.04894941,11.62263152
348,1.375578978,0,151.8648319,0,73.54379933,,847.8665624,4258.674754,3026.838468,0,-80.55636276,28.63721403,22852.19946,79.35618759,11.62264935
349,5.051745314,0,230.5403577,0,73.16938811,,850.5903511,6616.622665,3246.240299,0,-80.53220037,28.63917728,22706.23447,79.24427949,11.62265014
350,6.049543643,0,196.0729129,0,68.8299693,,848.6030511,4571.301431,46.13790524,0,-80.55317133,28.61040688,22808.80669,79.72514725,11.62263711
351,2.61372665,0,42.25038459,0,69.04721791,,848.0783134,5341.997837,1155.85187,0,-80.54527107,28.62038384,22836.54125,83.63210883,11.62264175
352,1.883048225,0,213.5985653,0,68.77198527,,848.2198818,5929.517309,536.9233632,0,-80.53925514,28.61481513,22787.73562,81.28688341,11.62263907
353,6.549136,0,288.027813,0,67.99793632,,849.8873375,3537.181922,-284.9105232,0,-80.56376594,28.60743292,22810.25773,78.99645761,11.6226359
354,5.185664,0,221.611197,0,68.09618802,,848.6595345,8794.990271,-666.3125545,0,-80.50990913,28.60397793,22809.65912,79.25499564,11.62263435
355,3.263392,0,191.977592,0,72.54709535,,850.3957016,4941.115494,321.0346073,0,-80.54938174,28.61287773,22833.23545,79.07694643,11.62263838
356,2.61372665,0,256.8610751,0,68.18324693,,849.5481043,2611.416696,1597.793069,0,-80.57324494,28.62436667,22781.81993,80.95519033,11.62264326
357,2.268264221,0,221.1301126,0,71.19204878,,849.4799849,3730.358012,1422.016287,0,-80.5617815,28.62278314,22811.83803,79.16658495,11.62264284
358,5.185664,0,206.5609956,0,67.93006098,,852.6067295,5207.613872,585.9796604,0,-80.54665044,28.6152594,22753.31521,80.80585358,11.62263932
359,2.242157086,0,200.2464755,0,69.28356596,,847.7893922,6409.348926,452.9733045,0,-80.53433998,28.61405787,22829.65233,81.03216828,11.62263853
360,1.808790896,0,229.413916,0,69.01991453,,850.1985176,2974.87064,3728.895284,0,-80.56951564,28.64353135,22833.98087,79.52736718,11.62265215
361,9.298432,0,219.8430663,0,67.99472207,,848.5981755,3320.078063,3001.149077,0,-80.56598032,28.63698574,22832.24427,79.3540166,11.62264891
362,7.689088,0,266.5750388,0,70.63231453,,848.5136004,5293.229749,-281.0069889,0,-80.54577738,28.60746206,22824.65107,78.98753566,11.62263582
363,2.369312,0,238.6868729,0,72.6367634,,848.8730975,4418.23469,3283.630916,0,-80.5547268,28.63952288,22786.1089,80.76732482,11.6226504
364,2.369312,0,237.1715773,0,69.18046137,,850.1987307,8670.447539,1045.808677,0,-80.51117185,28.61937624,22768.92528,80.1424314,11.6226409
365,6.645994667,0,228.9092248,0,67.71375369,,848.4433875,5476.513983,2722.529302,0,-80.54388542,28.63447274,22834.50628,79.07012174,11.62264799
366,4.485301333,0,162.5150218,0,67.74921068,,850.1291116,6929.944885,1415.472688,0,-80.52900093,28.62271116,22757.57428,82.71788748,11.62264273
367,1.619129706,0,261.6128385,0,67.37622059,,849.0829502,5030.950296,1385.706443,0,-80.54845675,28.62245221,22784.96331,78.97491559,11.62264258
368,2.51142016,0,169.164834,0,67.20814139,,848.646412,2768.062136,146.5969185,0,-80.57164357,28.61131543,22801.81639,79.31539572,11.62263758
369,5.742474672,0,254.3866238,0,72.12875277,,848.6118524,4511.210609,-681.394056,0,-80.55378978,28.60386424,22827.9546,82.21395044,11.62263421
370,3.367701333,0,160.0179266,0,70.94706887,,850.8431696,3499.952925,2917.9847,0,-80.56413746,28.63623735,22783.02079,81.32348992,11.62264861
371,5.586563342,0,219.4495743,0,73.94822986,,849.0913957,5305.149755,1386.440739,0,-80.54564751,28.62245772,22823.35038,79.93197454,11.62264219
372,1.900785502,0,246.7471937,0,72.29474966,,848.7378203,8628.326908,920.0495916,0,-80.51160433,28.61824554,22758.36917,79.99305822,11.62264063
373,0.01081071027,0,190.2334416,0,71.19938559,,849.046648,2204.859363,855.0901296,0,-80.57741173,28.61768814,22791.38164,80.53182093,11.62264052
374,1.391758176,0,116.0070116,0,72.67096718,,848.3690826,4168.674601,1222.464449,0,-80.55729156,28.6209872,22819.40026,80.75166108,11.62264206
375,1.619129706,0,224.0323641,0,71.60461279,,847.9227477,5100.876249,-520.2950358,0,-80.54774887,28.60531086,22826.30999,79.29293931,11.62263497
376,9.103894118,0,201.7488291,0,71.63864679,,847.7407339,2579.567356,2250.957751,0,-80.57356978,28.63024079,22846.3346,80.39498077,11.62264617
377,1.88832863,0,212.1785297,0,67.88787068,,848.5930834,5244.001853,684.1835131,0,-80.54627722,28.61614242,22785.78291,79.29488318,11.6226394
378,8.60552,0,123.3468299,0,71.28272523,,849.0848069,5526.265459,1903.363228,0,-80.54337962,28.6271056,22821.68457,82.00547505,11.62264478
379,2.61372665,0,124.3723577,0,69.8114053,,849.7288899,2225.59869,4402.821466,0,-80.57719233,28.64959362,22792.2591,80.15740148,11.62265489
380,2.998663873,0,199.0310333,0,69.77841525,,848.0183081,5030.131421,555.7017825,0,-80.5484688,28.6149878,22831.29791,79.486743,11.622639
381,0.9530313668,0,186.6549057,0,69.04253282,,850.1499371,4860.923413,-420.3338025,0,-80.55020642,28.60621075,22727.74795,79.13011459,11.62263519
382,1.056062367,0,201.7087954,0,67.92111487,,848.7856471,5944.105449,1843.215658,0,-80.53909888,28.62656283,22843.47691,79.55081703,11.62264447
